Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2016-05-31 00:00:00-04:00,178.88949148728796,178.9999422264922,177.71705429789446,178.2777862548828,109879400,0.0,0.0,0.0
2016-06-01 00:00:00-04:00,177.66615276960985,178.82159501256743,177.47075081370213,178.6431884765625,69936200,0.0,0.0,0.0
2016-06-02 00:00:00-04:00,178.24386014708955,179.2038873614953,177.76809215345386,179.18690490722656,63044700,0.0,0.0,0.0
2016-06-03 00:00:00-04:00,178.62624674277677,179.0000683107485,177.4453174968902,178.6517333984375,101757100,0.0,0.0,0.0
2016-06-06 00:00:00-04:00,179.00854992398703,179.9176171394151,178.84712580433455,179.560791015625,64887000,0.0,0.0,0.0
2016-06-07 00:00:00-04:00,179.7136464861615,180.40181183263633,179.68815984101101,179.84107971191406,60974800,0.0,0.0,0.0
2016-06-08 00:00:00-04:00,179.9770105373412,180.55473805490792,179.84957731625556,180.4272918701172,66170900,0.0,0.0,0.0
2016-06-09 00:00:00-04:00,179.69665127608295,180.2998654606559,179.42478940626114,180.18092346191406,73786900,0.0,0.0,0.0
2016-06-10 00:00:00-04:00,178.8046059770867,179.14443658039636,177.9295168943366,178.4732666015625,113829200,0.0,0.0,0.0
2016-06-13 00:00:00-04:00,177.87006868862602,178.72814946710477,177.01198791014727,177.09693908691406,117751200,0.0,0.0,0.0
2016-06-14 00:00:00-04:00,176.71460305913646,177.34330391003104,175.7970449106847,176.7485809326172,125059300,0.0,0.0,0.0
2016-06-15 00:00:00-04:00,176.74861832704423,177.87008284476488,176.31533228903874,176.5022430419922,109124500,0.0,0.0,0.0
2016-06-16 00:00:00-04:00,176.5022198364116,177.1988894537725,174.66710339252674,177.02896118164062,149533100,0.0,0.0,0.0
2016-06-17 00:00:00-04:00,176.9247897845939,176.95040897544104,175.71210030370545,176.36968994140625,117055700,1.078,0.0,0.0
2016-06-20 00:00:00-04:00,178.3338969472471,179.00855730706354,177.42010243907166,177.50550842285156,82789600,0.0,0.0,0.0
2016-06-21 00:00:00-04:00,177.88979308996412,178.419273654042,177.44570547076717,178.0093536376953,72461700,0.0,0.0,0.0
2016-06-22 00:00:00-04:00,178.18870321431743,178.91461497918837,177.57381662154108,177.71900939941406,95560500,0.0,0.0,0.0
2016-06-23 00:00:00-04:00,179.17934803869173,180.08459408836288,178.7181896283184,180.03335571289062,102731400,0.0,0.0,0.0
2016-06-24 00:00:00-04:00,173.9015591226571,180.06749458914365,173.12440913565385,173.56849670410156,333444400,0.0,0.0,0.0
2016-06-27 00:00:00-04:00,172.15942810806536,172.16797652592734,169.6486431080972,170.4599609375,230775800,0.0,0.0,0.0
2016-06-28 00:00:00-04:00,172.06545337042272,173.55996672054923,171.75801010286608,173.5343475341797,159382400,0.0,0.0,0.0
2016-06-29 00:00:00-04:00,174.93494221304724,176.71981526094208,174.83246545427784,176.48924255371094,137328600,0.0,0.0,0.0
2016-06-30 00:00:00-04:00,176.95890376909844,178.94872982124562,176.40379106300261,178.89749145507812,165021900,0.0,0.0,0.0
2016-07-01 00:00:00-04:00,178.8975194598976,179.76007552914442,178.73525592088592,179.27328491210938,106055300,0.0,0.0,0.0
2016-07-05 00:00:00-04:00,178.4449078178541,178.5559329897525,177.3859466008176,177.98374938964844,109803700,0.0,0.0,0.0
2016-07-06 00:00:00-04:00,177.4884035203763,179.17079955807648,176.83081401059002,179.05123901367188,96021500,0.0,0.0,0.0
2016-07-07 00:00:00-04:00,179.23059081212514,179.89671577185584,178.1716296100524,178.9402313232422,85593800,0.0,0.0,0.0
2016-07-08 00:00:00-04:00,180.23831665170167,181.85239058459535,180.0077309381104,181.60472106933594,133971000,0.0,0.0,0.0
2016-07-11 00:00:00-04:00,182.0659506682939,182.81748180834364,181.86098407615486,182.2452850341797,73633900,0.0,0.0,0.0
2016-07-12 00:00:00-04:00,183.21027279368047,183.86786237841264,182.27085910120599,183.56895446777344,101275600,0.0,0.0,0.0
2016-07-13 00:00:00-04:00,183.98743791332976,183.99597329991124,183.05657256209142,183.54335021972656,87324100,0.0,0.0,0.0
2016-07-14 00:00:00-04:00,184.80723631585903,185.03782201269067,184.1752790424176,184.568115234375,91230900,0.0,0.0,0.0
2016-07-15 00:00:00-04:00,185.13175438987037,185.32817247632323,183.87636225740206,184.32044982910156,107155400,0.0,0.0,0.0
2016-07-18 00:00:00-04:00,184.44001522531568,184.97804416230315,184.18381034907776,184.81578063964844,58725900,0.0,0.0,0.0
2016-07-19 00:00:00-04:00,184.39734395611424,184.6620842623495,184.1496874528655,184.6279296875,54345700,0.0,0.0,0.0
2016-07-20 00:00:00-04:00,184.6279132312971,185.6356359885821,184.6279132312971,185.39651489257812,58159500,0.0,0.0,0.0
2016-07-21 00:00:00-04:00,185.28551066611325,185.5075479701267,184.252155646983,184.6962432861328,67777300,0.0,0.0,0.0
2016-07-22 00:00:00-04:00,184.81578456758726,185.57585079687013,184.5510443012593,185.5246124267578,62787500,0.0,0.0,0.0
