Turn,y_true,moef_prediction
0,0.5,0.4197903368202255
1,0.5,0.5058710864567292
2,0.5,0.4383992905068357
3,0.5,0.6257506930401785
4,0.5,0.5652558412863102
5,1.0,0.7583344981011272
6,1.0,0.8411586855676323
7,1.0,0.806536199600345
8,1.0,0.8316638865158209
9,1.0,0.7522326957505351
10,1.0,0.8421689695993828
11,0.5,0.4010176892200169
12,0.5,0.5035228451244266
13,0.0,0.1553624034969636
14,0.0,0.3459766650558194
15,0.0,0.244025089277092
16,0.0,0.1901184082768444
17,0.0,0.2424133203000617
18,0.0,0.2809674033182077
19,0.0,0.1553624034969636
20,0.0,0.2051608429795271
21,0.5,0.53484107281572
22,0.5,0.5293924012513241
23,0.0,0.2631847817459656
24,0.5,0.5210636665242737
25,0.0,0.1795896377250516
26,0.0,0.1685670632271912
27,0.0,0.2116707686718208
28,0.0,0.1637988509427708
29,0.0,0.1558432370059502
30,0.0,0.2846952009004077
31,0.5,0.5151726571344699
32,0.5,0.4918827227048662
33,0.5,0.4604418049148552
34,1.0,0.795571309553392
35,0.5,0.4301485063447612
36,0.0,0.3105216700861503
37,0.0,0.3035352690993879
38,0.0,0.163553457099824
39,0.0,0.3406144250610251
40,0.0,0.2454752255340644
41,0.0,0.2360254909886212
42,0.5,0.5250002011694888
43,0.5,0.5203700890677578
44,0.5,0.5178825486450118
45,0.0,0.2151625878145018
46,0.0,0.3134961520093144
47,0.0,0.3656386259363222
48,0.0,0.2538589601419752
49,0.0,0.2664014414141202
50,0.5,0.3508427121888222
51,0.5,0.4841699590907816
52,0.0,0.3019153665307303
53,0.0,0.232530763985248
54,1.0,0.8360719458619552
55,1.0,0.8295842610094525
56,1.0,0.7656817668731098
57,1.0,0.829032444553562
58,1.0,0.6624969721238391
59,1.0,0.8276262382347839
60,0.5,0.6243729815733184
61,0.5,0.3765721742806953
62,0.5,0.5409250930798544
63,0.0,0.2913968874516291
64,0.0,0.2035128946875957
65,0.5,0.511619867614115
66,0.5,0.5819687907594729
67,1.0,0.7979594071497266
68,1.0,0.8002940774407767
69,1.0,0.7644248866660638
70,1.0,0.8336961006028728
71,1.0,0.7192929848206716
72,1.0,0.8178785711399482
73,1.0,0.7714545802160713
74,0.5,0.4362860054596065
75,1.0,0.8833043611730411
76,0.5,0.4571199727478786
77,0.5,0.4528542259274335
78,0.0,0.1555663487943536
79,0.0,0.2426240482275864
80,0.0,0.2121322484441848
81,0.0,0.2979304974353943
82,0.5,0.5382308969845774
83,0.5,0.4117106480721898
84,0.5,0.4560818826811493
85,0.5,0.4605626326751262
86,0.5,0.5005757197405997
87,0.5,0.3876615090770546
88,0.5,0.4608983228198908
89,0.5,0.4537911740692706
90,1.0,0.677786982985941
91,1.0,0.819737321012508
92,0.5,0.4473061732830454
93,0.5,0.5226082685863972
94,0.5,0.3821996867600037
95,0.0,0.200072049944964
96,0.0,0.1872072748038332
97,0.0,0.2598004208127128
98,0.0,0.2165609347643768
99,0.5,0.5228070860515209
100,0.5,0.5407937575792601
101,0.0,0.2711879345639738
102,0.0,0.2332954081102324
103,0.0,0.1700602184461936
104,0.0,0.2064816130844917
105,0.0,0.1429704286808482
106,1.0,0.8222073151735421
107,1.0,0.7854792571392191
108,1.0,0.8146464304917787
109,1.0,0.765183647993673
110,0.5,0.4673082067709528
111,0.0,0.3170861372926796
112,0.0,0.199047860690784
113,0.5,0.5391529616111671
114,0.5,0.5200069847639368
115,1.0,0.8418387156756438
116,1.0,0.7609329839378747
117,1.0,0.8446375965030364
118,0.5,0.5687739548063112
119,1.0,0.7259095137778091
120,1.0,0.8406111120721352
121,0.5,0.486159750410409
122,1.0,0.8552348184123179
123,0.5,0.515973019702578
124,0.5,0.5697432511767294
125,1.0,0.8077793555783137
126,1.0,0.7623400899157112
127,0.5,0.6205775018085382
128,1.0,0.8027835208807507
129,0.5,0.6036617298767258
130,0.0,0.1654660954946705
131,0.0,0.1887513521562711
132,0.0,0.1683223657446912
133,0.0,0.2873649399726605
134,0.0,0.2009610104732659
135,0.5,0.5044831583954942
136,0.5,0.551587940722213
137,0.5,0.4560204854997994
138,0.5,0.4494455544272158
139,0.5,0.4786029181800261
140,0.0,0.1903913159144614
141,0.5,0.524816122024725
142,0.5,0.4602484752271074
143,0.5,0.5004336956298524
144,0.5,0.5564680734690801
145,1.0,0.8665070920603071
146,0.0,0.2228059510207002
147,0.0,0.1553624034969636
148,0.5,0.4153902309315978
149,0.5,0.5291677445109445
150,0.0,0.1896384303868765
151,0.5,0.4878455116925453
152,0.5,0.4545219846354616
153,0.5,0.4476702855682498
154,0.5,0.5615324184986903
155,0.5,0.4103235516550468
156,1.0,0.7399581806882032
157,1.0,0.8010204902161856
158,0.5,0.4926521897081202
159,1.0,0.8331910434781237
160,0.5,0.5505303767842432
161,0.5,0.4963690069203104
162,0.5,0.453174759688045
163,0.5,0.4164655725542027
164,1.0,0.8215387634026081
165,1.0,0.8188271327835858
166,1.0,0.7929390817160494
