Turn,y_true,moef_prediction
0,0.5,0.5881047217676014
1,0.5,0.4726962981688701
2,0.5,0.4608833428815933
3,0.5,0.4876957632911191
4,0.5,0.5145596954515876
5,1.0,0.8117965319353742
6,1.0,0.8428949564534046
7,1.0,0.7911967888338646
8,1.0,0.7782094303896109
9,1.0,0.8024467636200074
10,1.0,0.8145202682131865
11,0.5,0.5380862428900315
12,0.5,0.4354918666913824
13,0.0,0.2080161946476602
14,0.0,0.2445703500439551
15,0.0,0.2255016987197267
16,0.0,0.199291800737466
17,0.0,0.2324238062642522
18,0.0,0.2312766639304838
19,0.0,0.1985024316581855
20,0.0,0.1665260943656153
21,0.5,0.3624157648966163
22,0.5,0.4414964919232882
23,0.0,0.303910182211405
24,0.5,0.4414957349555343
25,0.0,0.196946068378965
26,0.0,0.1638192681194354
27,0.0,0.1655570349302476
28,0.0,0.1570526729776296
29,0.0,0.1810932001700528
30,0.0,0.214525728524409
31,0.5,0.5446453928732635
32,0.5,0.5262823347541421
33,0.5,0.5498553064380705
34,1.0,0.8381263831976651
35,0.5,0.4710044478497384
36,0.0,0.2401673267848551
37,0.0,0.2643248458158614
38,0.0,0.1827890467458246
39,0.0,0.2800238123156227
40,0.0,0.1615090485779835
41,0.0,0.1661011171911974
42,0.5,0.3560779522696306
43,0.5,0.5083776330449002
44,0.5,0.5254696834008267
45,0.0,0.1969653788898864
46,0.0,0.1872510492567769
47,0.0,0.340093822538177
48,0.0,0.2860933963901229
49,0.0,0.1811297137332328
50,0.5,0.5167553620075317
51,0.5,0.4637710877731848
52,0.0,0.2382109948734978
53,0.0,0.1950100920505101
54,1.0,0.8072236308398318
55,1.0,0.8144134240570005
56,1.0,0.8214278111782327
57,1.0,0.8381879469159105
58,1.0,0.6255994761350379
59,1.0,0.8375521496318958
60,0.5,0.3641378261814878
61,0.5,0.5241419024395391
62,0.5,0.5394936534416563
63,0.0,0.259942924035378
64,0.0,0.2343592924207073
65,0.5,0.4876667195576822
66,0.5,0.5300420878645442
67,1.0,0.7605795163411986
68,1.0,0.7709959382704945
69,1.0,0.8338620059520676
70,1.0,0.8224084811709481
71,1.0,0.7477238312088677
72,1.0,0.8121021091251147
73,1.0,0.684675276245348
74,0.5,0.5725041163792524
75,1.0,0.8342685294128229
76,0.5,0.4090507211619494
77,0.5,0.4602129888845278
78,0.0,0.1660065046970429
79,0.0,0.2337547929045679
80,0.0,0.2455402407412532
81,0.0,0.2444779604269525
82,0.5,0.5391753834969626
83,0.5,0.5709494164389898
84,0.5,0.5793809066382468
85,0.5,0.5256813124742403
86,0.5,0.5282393108138533
87,0.5,0.5012469701025049
88,0.5,0.4893798739458205
89,0.5,0.5565009435247027
90,1.0,0.688860636889134
91,1.0,0.8120061567247387
92,0.5,0.5511218604569765
93,0.5,0.4677005458442992
94,0.5,0.454458863628998
95,0.0,0.2011699076320214
96,0.0,0.2033120893398489
97,0.0,0.2568916745531684
98,0.0,0.1553624034969636
99,0.5,0.4230300660363497
100,0.5,0.5084248694020764
101,0.0,0.3911850867157705
102,0.0,0.1602618023288868
103,0.0,0.1733884961597967
104,0.0,0.2023976714440906
105,0.0,0.1576655459004751
106,1.0,0.781764649320923
107,1.0,0.8446375965030364
108,1.0,0.7955653881975941
109,1.0,0.8368478214378903
110,0.5,0.5269350440725779
111,0.0,0.3243700739180539
112,0.0,0.1924226231591299
113,0.5,0.5425684847557135
114,0.5,0.5100659301107451
115,1.0,0.8320810872436031
116,1.0,0.8258295433532586
117,1.0,0.7892801283664135
118,0.5,0.5723290657850074
119,1.0,0.7711333911640932
120,1.0,0.8328190210563277
121,0.5,0.5162138643962265
