Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,SMA_30,SMA_60,MACD,Bollinger_Upper,Bollinger_Lower,RSI_30,CCI_30,DX_30
2016-05-31 00:00:00-04:00,36.289069344158754,36.68531416875603,36.26526272081435,36.486446380615234,42590000,0.0,0.0,,,,0.0,,,,,0.0
2016-06-01 00:00:00-04:00,36.42743468981656,36.56034239737634,36.2355098608824,36.40858840942383,25072000,0.0,0.0,,,,-0.006210892288770253,,,0.0,,99.9999957965976
2016-06-02 00:00:00-04:00,36.32676263401709,36.35255188463385,35.91365410260733,36.222618103027344,26836000,0.0,0.0,,,,-0.02584143470859601,,,0.0,,99.99999964107882
2016-06-03 00:00:00-04:00,36.166573848053346,36.177482063951174,35.734619092673825,35.82289505004883,24526000,0.0,0.0,,,,-0.07281373929554036,,,0.0,,99.99999975571882
2016-06-06 00:00:00-04:00,35.95035450566174,35.95035450566174,35.43954871421295,35.53575897216797,31306000,0.0,0.0,,,,-0.13169105834081307,,,0.0,,99.99999983987897
2016-06-07 00:00:00-04:00,35.69891556695493,35.80504271583416,35.535753919797486,35.540714263916016,26724000,0.0,0.0,,,,-0.17592396527854248,,,0.17304648000788347,,99.99999983637828
2016-06-08 00:00:00-04:00,35.90323672716388,36.13185900860756,35.7356104042657,36.11747741699219,31674000,0.0,0.0,,,,-0.16256494892704865,,,17.386411941080368,,38.93673741669618
2016-06-09 00:00:00-04:00,35.84918380873386,36.17996801873409,35.822698370129324,36.13235855102539,19778000,0.0,0.0,,,,-0.149058792102835,,,17.76488680727614,,32.76402019907603
2016-06-10 00:00:00-04:00,35.680563352662155,35.9989485687495,35.52980068070066,35.677589416503906,24328000,0.0,0.0,,,,-0.17305624928668806,,,15.51746521312549,,47.46432615186634
2016-06-13 00:00:00-04:00,35.533777042481326,35.976640117951256,35.533777042481326,35.62552261352539,25178000,0.0,0.0,,,,-0.19403900202689073,,,15.288390547836585,,47.464326150243146
2016-06-14 00:00:00-04:00,35.53228398397018,35.829344650384634,35.36564896245043,35.621055603027344,26122000,0.0,0.0,,,,-0.20862355270892152,,,15.268386000474067,,53.68474358239661
2016-06-15 00:00:00-04:00,35.65725882706259,35.854635882022194,35.573447548750856,35.653289794921875,24290000,0.0,0.0,,,,-0.21510133006982812,,,16.088008851586537,,50.90426395807813
2016-06-16 00:00:00-04:00,35.45442343341532,35.540716779195485,34.8766662708212,35.22877883911133,39650000,0.0,0.0,,,,-0.25158933638510916,,,14.214729479470975,,67.60705743466148
2016-06-17 00:00:00-04:00,35.14397055805786,35.15240427828962,34.142295071097095,34.30436325073242,68048000,0.0,0.0,,,,-0.35105224483459807,,,11.260956306212634,,76.37149424640124
2016-06-20 00:00:00-04:00,34.65399528511547,34.837985848490376,34.38817984875492,34.40305709838867,41650000,0.0,0.0,,,,-0.4171054160878711,,,13.251835528183491,,76.37149424484795
2016-06-21 00:00:00-04:00,34.6356485323328,34.85237133931692,34.318750215341325,34.51365280151367,29312000,0.0,0.0,,,,-0.455280688859375,,,15.45076491371806,,77.00108269646117
2016-06-22 00:00:00-04:00,34.66837399076694,34.75764126476761,34.371907358531836,34.589027404785156,23686000,0.0,0.0,,,,-0.4739889178198453,,,16.935256562950002,,77.001082695282
2016-06-23 00:00:00-04:00,34.58852676932901,34.81169303038639,34.07027872851503,34.80772399902344,43428000,0.0,0.0,,,,-0.4657988968915703,,,21.09360171239841,,79.53611129845993
2016-06-24 00:00:00-04:00,33.48360192048007,34.18931019704619,33.398303675895654,33.486083984375,88980000,0.0,0.0,,,,-0.5595039369693922,,,16.06560216430715,,83.68145656706173
2016-06-27 00:00:00-04:00,33.27680035006406,33.34127347418124,32.89414252098004,33.14091491699219,52580000,0.0,0.0,35.26589584350586,,,-0.65407830779629,37.146994096728164,33.384797590283554,15.093574683360956,,85.89851386082078
2016-06-28 00:00:00-04:00,33.67205124134698,33.739494505291745,33.37598193398776,33.72511291503906,43476000,0.0,0.0,35.12782917022705,,,-0.6741184639242164,37.03686810316093,33.21879023729318,23.226458394330876,,67.32344658461038
2016-06-29 00:00:00-04:00,33.87191952470573,34.09156328230063,33.793064801237826,33.92696762084961,38652000,0.0,0.0,35.00374813079834,,,-0.6660348095560877,36.884668564521846,33.12282769707484,25.768000083464514,,53.31276185160702
2016-06-30 00:00:00-04:00,33.994410069421505,34.334123671116835,33.904151474239214,34.323211669921875,31954000,0.0,0.0,34.90877780914307,,,-0.6205021099450221,36.721129674361755,33.09642594392438,30.443928349085823,,44.67855691620215
2016-07-01 00:00:00-04:00,34.328167712052284,34.747227855213765,34.32469433624039,34.675811767578125,26894000,0.0,0.0,34.85142364501953,,,-0.5496294502094088,36.61388689970318,33.08896039033588,34.25612179403991,,31.619077691223392
2016-07-05 00:00:00-04:00,34.51959428737407,34.56323471613872,34.163516538887734,34.46454620361328,29252000,0.0,0.0,34.7978630065918,,,-0.5046919475395697,36.537723794394445,33.05800221878915,33.13063805196039,,34.022800835729846
2016-07-06 00:00:00-04:00,34.2180689222676,34.79830425295011,34.17392905393849,34.60439682006836,28238000,0.0,0.0,34.751047134399414,,,-0.45257685271020875,36.45679997461057,33.04529429418826,34.60201625915586,,27.27286412902402
2016-07-07 00:00:00-04:00,34.6197688543128,34.62572050964793,34.130537488678655,34.48487854003906,26084000,0.0,0.0,34.669417190551755,,,-0.41612258875552044,36.25162155690142,33.08721282420209,33.941741839192744,,27.96564028677689
2016-07-08 00:00:00-04:00,34.69018668216149,34.99815927820202,34.538186791494425,34.99419403076172,31504000,0.0,0.0,34.61250896453858,,,-0.34219026202391234,36.04825723951751,33.17676068955964,39.067388514654695,,17.986320748308422
2016-07-11 00:00:00-04:00,35.114217361188544,35.533773202368494,35.07404651730416,35.46335220336914,22236000,0.0,0.0,34.601797103881836,,,-0.2429407471170819,36.00695791033625,33.196636297427425,43.26253502841022,,5.720743369456378
2016-07-12 00:00:00-04:00,35.66321270887087,35.852655495004505,35.504020079024336,35.73859405517578,26738000,0.0,0.0,34.60745067596436,35.05729942321777,,-0.1404559851842322,36.030747025533465,33.18415432639525,45.53819723080561,56.2876615116925,0.6408514027709553
2016-07-13 00:00:00-04:00,35.886372703493144,35.90521898265675,35.55062818876477,35.55707550048828,18718000,0.0,0.0,34.6042516708374,35.026320393880205,,-0.07304113065140427,36.01821266600547,33.19029067566933,44.32531261799789,58.273710580470855,1.6500047455490625
2016-07-14 00:00:00-04:00,35.78520493588427,35.816450184943506,35.609152448753505,35.753963470458984,19004000,0.0,0.0,34.60928535461426,35.00449956258138,,-0.003684684274439576,36.03959312659374,33.17897758263477,45.94091236885224,67.27624357528995,1.6500047455405242
2016-07-15 00:00:00-04:00,35.99101029392772,35.991505949899086,35.659980210459295,35.699405670166016,25586000,0.0,0.0,34.63281669616699,34.98705914815267,,0.04634421339666517,36.12037719836813,33.14525619396585,45.561912669809914,75.01346134465689,5.0857387348726535
