Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-05-31 00:00:00-04:00,22.67391147834835,22.85603194678067,22.49634497688307,22.73310089111328,169228800,0.0,0.0
2016-06-01 00:00:00-04:00,22.54186425664834,22.660243029826294,22.38478720234156,22.41438102722168,116693200,0.0,0.0
2016-06-02 00:00:00-04:00,22.218605412811385,22.273240842302986,21.99778497521207,22.24592399597168,160766400,0.0,0.0
2016-06-03 00:00:00-04:00,22.261852865345205,22.371123692243952,22.18445110419915,22.291446685791016,114019600,0.0,0.0
2016-06-06 00:00:00-04:00,22.307387409815206,23.195221340147576,22.20722275072929,22.453083038330078,93170000,0.0,0.0
2016-06-07 00:00:00-04:00,22.59422878727063,22.735372201930687,22.52821017735685,22.544145584106445,89638000,0.0,0.0
2016-06-08 00:00:00-04:00,22.541863679255194,22.664794677408715,22.46446364532262,22.523653030395508,83392400,0.0,0.0
2016-06-09 00:00:00-04:00,22.423501348446656,22.762699004359536,22.41439514963177,22.685298919677734,106405600,0.0,0.0
2016-06-10 00:00:00-04:00,22.43031587222993,22.616988483596124,22.418934433788163,22.498611450195312,126851600,0.0,0.0
2016-06-13 00:00:00-04:00,22.466748484703306,22.564637920975898,22.104784574084448,22.159420013427734,152082000,0.0,0.0
2016-06-14 00:00:00-04:00,22.15486624507442,22.418940701079542,22.025106000128226,22.186737060546875,127727600,0.0,0.0
2016-06-15 00:00:00-04:00,22.268687704111798,22.403001894795192,22.0888442801829,22.1138858795166,117780800,0.0,0.0
2016-06-16 00:00:00-04:00,21.956809775393893,22.252755038411323,21.870303526845767,22.207225799560547,125307200,0.0,0.0
2016-06-17 00:00:00-04:00,21.995507675465443,22.00233688641061,21.695010236076318,21.701839447021484,244032800,0.0,0.0
2016-06-20 00:00:00-04:00,21.854373548479586,21.984133821950504,21.63355303785743,21.64948844909668,137647600,0.0,0.0
2016-06-21 00:00:00-04:00,21.61305902529588,21.93404413901869,21.553869628070824,21.833879470825195,142185600,0.0,0.0
2016-06-22 00:00:00-04:00,21.911276651977456,22.05697227466508,21.70639163981398,21.751922607421875,116876400,0.0,0.0
2016-06-23 00:00:00-04:00,21.840707468421712,21.920384496701352,21.683628657792593,21.87713050842285,128960800,0.0,0.0
2016-06-24 00:00:00-04:00,21.1509300314275,21.549316923000653,21.09174063551022,21.26247787475586,301245600,0.0,0.0
2016-06-27 00:00:00-04:00,21.171420532073174,21.182803710961903,20.829946007362317,20.952877044677734,181958400,0.0,0.0
2016-06-28 00:00:00-04:00,21.148651842251095,21.321666054463222,20.97563763003897,21.305728912353516,161779600,0.0,0.0
2016-06-29 00:00:00-04:00,21.392236244676305,21.524273448369915,21.31483446647255,21.49012565612793,146124000,0.0,0.0
2016-06-30 00:00:00-04:00,21.499225442806583,21.801998043822323,21.467354642699664,21.76329803466797,143345600,0.0,0.0
2016-07-01 00:00:00-04:00,21.73826641463874,21.961363854547113,21.701843370736256,21.829326629638672,104106000,0.0,0.0
2016-07-05 00:00:00-04:00,21.715501360026124,21.717778342983515,21.503787102545367,21.624441146850586,110820800,0.0,0.0
2016-07-06 00:00:00-04:00,21.535651754635122,21.77696151102869,21.483293319400158,21.747365951538086,123796400,0.0,0.0
2016-07-07 00:00:00-04:00,21.786068710331573,21.968189107508774,21.767858060076918,21.84070587158203,100558400,0.0,0.0
2016-07-08 00:00:00-04:00,21.96591273121933,22.056972932321376,21.86574807315307,22.009166717529297,115648400,0.0,0.0
2016-07-11 00:00:00-04:00,22.025102967911465,22.229987994048525,22.020550739254617,22.077463150024414,95179600,0.0,0.0
2016-07-12 00:00:00-04:00,22.120709445982424,22.241363446440136,22.109328008989863,22.177621841430664,96670000,0.0,0.0
2016-07-13 00:00:00-04:00,22.175348749652812,22.23453639615039,22.045586808073868,22.052417755126953,103568800,0.0,0.0
2016-07-14 00:00:00-04:00,22.170797838449396,22.535036907490163,22.154862433454767,22.4895076751709,155676000,0.0,0.0
2016-07-15 00:00:00-04:00,22.519104930441348,22.605612916576966,22.423492485919063,22.487234115600586,120548000,0.0,0.0
2016-07-18 00:00:00-04:00,22.469019737799965,22.794558806447593,22.44625512018853,22.72626495361328,145975600,0.0,0.0
