Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,SMA_20,SMA_30,SMA_60,MACD,Bollinger_Upper,Bollinger_Lower,RSI_30,CCI_30,DX_30
2026-01-26 00:00:00-05:00,688.609372319757,692.2394730275811,688.0409174669724,690.84326171875,60473800,0.0,0.0,0.0,,,,0.0,,,,,0.0
2026-01-27 00:00:00-05:00,692.2893344912051,694.6329705879123,691.6810104865692,693.5957641601562,55506100,0.0,0.0,0.0,,,,0.21957284432869528,,,100.0,,99.99999947546294
2026-01-28 00:00:00-05:00,695.1515053497095,695.9393926651097,692.0499903412962,693.5259399414062,61172200,0.0,0.0,0.0,,,,0.38353057278482083,,,99.91260217104153,,99.99999965401223
2026-01-29 00:00:00-05:00,694.4933553961189,695.1615135683285,682.9648421722587,692.1497192382812,97486200,0.0,0.0,0.0,,,,0.3978327760520415,,,98.16333871196885,,44.38501874304341
2026-01-30 00:00:00-05:00,689.9058246991844,692.3192774332931,685.2485609149509,690.0853271484375,101835100,0.0,0.0,0.0,,,,0.23982364864082228,,,95.56694811547273,,44.38501874046362
2026-02-02 00:00:00-05:00,687.7019133171445,695.0318708971434,687.5423149981101,693.5159912109375,79286500,0.0,0.0,0.0,,,,0.3869654979779398,,,95.75975431364166,,17.322275089609306
2026-02-03 00:00:00-05:00,694.3138377504575,695.0617950648859,682.1670182684101,687.6520385742188,107904600,0.0,0.0,0.0,,,,0.03005801292852084,,,88.9212773687035,,40.271662826239506
2026-02-04 00:00:00-05:00,688.4697490630058,689.5667896413613,679.9031787408285,684.3211059570312,105204600,0.0,0.0,0.0,,,,-0.5156283224605431,,,85.34008155825939,,46.71557114845874
2026-02-05 00:00:00-05:00,679.0854402743204,681.8279505601881,673.9494421186707,675.7744750976562,113610800,0.0,0.0,0.0,,,,-1.619066764069089,,,77.09832685758646,,58.8066117788235
2026-02-06 00:00:00-05:00,679.6039887472712,690.4244132010324,678.995603890688,688.739013671875,89127600,0.0,0.0,0.0,,,,-1.4309249529807175,,,80.1122830503982,,18.606637324971835
2026-02-09 00:00:00-05:00,687.5423060693106,693.9747512796714,686.4652913399738,692.0599975585938,73885200,0.0,0.0,0.0,,,,-1.0022917715294852,,,80.78247639064091,,7.031118918609114
2026-02-10 00:00:00-05:00,693.0572335194393,694.64286887948,689.7761552680904,690.2349243164062,65185700,0.0,0.0,0.0,,,,-0.8006358136835843,,,79.26393171073309,,5.035516188427034
2026-02-11 00:00:00-05:00,694.4933668556342,695.2413241987686,687.3029816841566,690.075439453125,76353900,0.0,0.0,0.0,,,,-0.6462416384970311,,,79.12946614685679,,11.36399242128078
2026-02-12 00:00:00-05:00,692.3491972008484,693.4561594586687,678.5169776231163,679.41455078125,118829000,0.0,0.0,0.0,,,,-1.3683542256258079,,,70.82144754192056,,28.80099795035427
2026-02-13 00:00:00-05:00,679.833354327075,684.410879804094,675.6747287653898,679.8931884765625,96267500,0.0,0.0,0.0,,,,-1.880336245822832,,,70.96304227018013,,33.19884050962465
2026-02-17 00:00:00-05:00,678.287593220413,683.074507822494,673.9394826742099,680.9901733398438,81354700,0.0,0.0,0.0,,,,-2.172524662914043,,,71.29332301643956,,35.70698079028929
2026-02-18 00:00:00-05:00,682.157061237011,687.2730943282486,680.9702998190471,684.4208374023438,73570300,0.0,0.0,0.0,,,,-2.1030178888354385,,,72.31219922472337,,24.04892534925118
2026-02-19 00:00:00-05:00,681.9775120282383,684.311104689823,679.6937101433548,682.61572265625,58649400,0.0,0.0,0.0,,,,-2.1685927562533607,,,70.94166540759748,,26.047176925515267
2026-02-20 00:00:00-05:00,680.4616860592505,688.1805961724377,679.8732661615737,687.5523071289062,100034000,0.0,0.0,0.0,,,,-1.8014541587619988,,,72.42046764720959,,16.44105291125313
2026-02-23 00:00:00-05:00,685.9566804858357,688.1207533479937,678.5169762252317,680.531494140625,90558100,0.0,0.0,0.0,686.8995635986328,,,-2.0533454200916594,697.8876638659957,675.9114633312698,67.3758557186934,,18.68799377928209
2026-02-24 00:00:00-05:00,680.0427976196477,686.4751816677359,678.1479481229125,685.4779052734375,73798700,0.0,0.0,0.0,686.6312957763672,,,-1.8327106721330892,697.4750294079792,675.7875621447553,68.95210417037629,,19.2988075138768
2026-02-25 00:00:00-05:00,688.3002642742074,691.7907319065998,688.2204651135966,691.26220703125,56369500,0.0,0.0,0.0,686.5146179199219,,,-1.1775373171590218,697.0897167781039,675.9395190617398,70.66658322526969,,7.2893652768347295
2026-02-26 00:00:00-05:00,691.391808867856,691.4117130049051,682.486077089091,687.422607421875,71671000,0.0,0.0,0.0,686.2094512939453,,,-0.9570984772045676,696.2725017406464,676.1464008472443,68.08486496766535,,16.652890493074036
2026-02-27 00:00:00-05:00,681.2295779636313,684.9892686841309,679.7835149777827,684.1216430664062,83308900,0.0,0.0,0.0,685.8080474853516,,,-1.0368076710986998,695.5072968864183,676.1087980842849,65.94228568175757,,20.564335484619075
2026-03-02 00:00:00-05:00,676.8515442239554,686.744509644098,676.1734035367807,684.5106201171875,87477200,0.0,0.0,0.0,685.5293121337891,,,-1.0564129138754197,695.0293693471308,676.0292549204473,66.07243604977535,,25.40206592300844
2026-03-03 00:00:00-05:00,673.221445388408,680.7508704958498,667.8361281509542,678.4771118164062,105003100,0.0,0.0,0.0,684.7773681640625,,,-1.54103975869009,693.9921246989005,675.5626116292245,62.254987067652515,,34.877211973887555
2026-03-04 00:00:00-05:00,679.7735096903759,685.2186606854194,677.7689744100875,683.2639770507812,79182200,0.0,0.0,0.0,684.5579650878906,,,-1.5213132536382545,693.6931443299966,675.4227858457846,63.963807257692686,,26.004869031346256
2026-03-05 00:00:00-05:00,680.2223290726917,683.6629449535216,673.7699188745959,679.4544067382812,106606500,0.0,0.0,0.0,684.3146301269531,,,-1.792418458328143,693.7313072869752,674.8979529669311,61.66540302883813,,30.253141039830272
2026-03-06 00:00:00-05:00,671.5758690877306,674.2685275228549,667.9358467743081,670.5487060546875,100687000,0.0,0.0,0.0,684.0533416748046,,,-2.6948226651572895,694.6800367200873,673.426646629522,56.7352496131832,,35.814532847082816
2026-03-09 00:00:00-04:00,664.5750801817165,678.0681991431876,660.5859743093405,676.4227294921875,102667700,0.0,0.0,0.0,683.4375274658203,685.2984395345052,,-2.902541212072947,694.3446738768323,672.5303810548082,58.973331385621314,-177.3400786152263,41.856662799704225
2026-03-10 00:00:00-04:00,675.87413967305,681.4987932365287,672.9222404542279,675.3356323242188,81505300,0.0,0.0,0.0,682.6013092041015,684.7815185546875,,-3.118926272633189,693.2872197330822,671.9153986751209,58.395004489904515,-103.44758817201541,35.689133605383226
2026-03-11 00:00:00-04:00,675.7345715953234,678.2277626375325,671.5061293267642,674.4879760742188,68441700,0.0,0.0,0.0,681.8139617919921,684.1445922851562,,-3.320534710136144,692.4520465429938,671.1758770409905,57.936708342184744,-120.41557046824813,36.86135061559786
2026-03-12 00:00:00-04:00,669.3319958917509,669.8207124533001,664.0564256954588,664.2459106445312,108882200,0.0,0.0,0.0,680.5224853515625,683.1685913085937,,-4.25768004775432,693.0426014104311,668.002369292694,52.76094825566511,-215.01265165237544,42.55917721278226
2026-03-13 00:00:00-04:00,667.4472371497842,670.5088831921612,659.5587462493693,660.4862060546875,97200200,0.0,0.0,0.0,679.5760681152344,682.1131408691406,,-5.243309609491121,694.9786588846761,664.1734773457928,51.02980247854849,-214.53825521766075,45.62392377785307
